acc_y,acc_z,acc_dy,acc_dz,spd,pothole,date
0.054062,0.011963,0.054062,0.011963,0,0,1595200381085
0.05101,0.004608,-0.003052,-0.049454,0,0,1595200381201
0.053375,0.007431,0.002365,-0.043579,0,0,1595200381204
0.055298,0.006226,0.001923,-0.047149,0,0,1595200381393
0.050522,0.006912,-0.004776,-0.048386,0,0,1595200381494
0.050781,0.003922,0.000259,-0.0466,0,0,1595200381512
0.053207,0.016678,0.002426,-0.034103,0,0,1595200381699
0.050613,0.008621,-0.002594,-0.044586,0,0,1595200381815
0.053909,0.006821,0.003296,-0.043792,0,0,1595200381815
0.04982,0.010086,-0.004089,-0.043823,0,0,1595200381997
0.05011,0.006256,0.00029,-0.043564,0,0,1595200382100
0.053604,0.007141,0.003494,-0.042969,0,0,1595200382140
0.050644,0.008057,-0.00296,-0.045547,0,0,1595200382222
0.049255,0.005081,-0.001389,-0.045563,0,0,1595200382415
0.050629,0.01004,0.001374,-0.039215,0,0,1595200382431
0.049393,0.007553,-0.001236,-0.043076,0,0,1595200382622
0.04924,0.009842,-0.000153,-0.039551,0,0,1595200382731
0.050766,0.010941,0.001526,-0.038299,0,0,1595200382921
0.051559,0.006927,0.000793,-0.043839,0,0,1595200382921
0.048767,0.0121,-0.002792,-0.039459,0,0,1595200383030
0.049637,0.006607,0.00087,-0.04216,0,0,1595200383071
0.05072,0.00946,0.001083,-0.040177,0,0,1595200383175
0.049103,0.009003,-0.001617,-0.041717,0,0,1595200383270
0.04892,0.007309,-0.000183,-0.041794,0,0,1595200383439
0.04982,0.003845,0.0009,-0.045075,0,0,1595200383541
0.05249,0.016846,0.00267,-0.032974,0,0,1595200383637
0.052933,0.017929,0.000443,-0.034561,0,0,1595200383739
0.049927,-0.002472,-0.003006,-0.055405,0,0,1595200383850
0.048813,0.005798,-0.001114,-0.044129,0,0,1595200383952
0.04895,0.013702,0.000137,-0.035111,0,0,1595200384055
0.050552,0.008942,0.001602,-0.040008,0,0,1595200384157
0.049454,0.005005,-0.001098,-0.045547,0,0,1595200384259
0.050766,0.010651,0.001312,-0.038803,0,0,1595200384362
0.049408,0.008774,-0.001358,-0.041992,0,0,1595200384557
0.04863,0.008072,-0.000778,-0.041336,0,0,1595200384557
0.052841,0.007309,0.004211,-0.041321,0,0,1595200384691
0.049683,0.005203,-0.003158,-0.047638,0,0,1595200384873
0.048508,0.020782,-0.001175,-0.028901,0,0,1595200384887
0.046005,0.008408,-0.002503,-0.0401,0,0,1595200384992
0.0513,0.005264,0.005295,-0.040741,0,0,1595200385105
0.048859,0.003662,-0.002441,-0.047638,0,0,1595200385211
0.049606,0.010254,0.000747,-0.038605,0,0,1595200385308
0.050034,0.010666,0.000428,-0.03894,0,0,1595200385488
0.047241,0.008163,-0.002793,-0.041871,0,0,1595200385604
0.05072,0.011368,0.003479,-0.035873,0,0,1595200385693
0.054871,0.006866,0.004151,-0.043854,0,0,1595200385796
0.049438,0.006058,-0.005433,-0.048813,0,0,1595200385897
0.051422,0.009689,0.001984,-0.039749,0,0,1595200386000
0.051666,0.007492,0.000244,-0.04393,0,0,1595200386094
0.048553,0.007935,-0.003113,-0.043731,0,0,1595200386197
0.050964,0.007278,0.002411,-0.041275,0,0,1595200386307
0.051361,0.008011,0.000397,-0.042953,0,0,1595200386410
0.048981,0.006897,-0.00238,-0.044464,0,0,1595200386513
0.049042,0.007156,0.000061,-0.041825,0,0,1595200386614
0.050735,0.010925,0.001693,-0.038117,0,0,1595200386717
0.049271,0.004349,-0.001464,-0.046386,0,0,1595200386819
0.050201,0.009827,0.00093,-0.039444,0,0,1595200386932
0.049286,0.00737,-0.000915,-0.042831,0,0,1595200387016
0.052597,0.006577,0.003311,-0.042709,0,0,1595200387127
0.050522,0.012222,-0.002075,-0.040375,0,0,1595200387252
0.050964,0.007965,0.000442,-0.042557,0,0,1595200387331
0.049454,0.006088,-0.00151,-0.044876,0,0,1595200387441
0.048859,0.004776,-0.000595,-0.044678,0,0,1595200387536
0.053207,0.012054,0.004348,-0.036805,0,0,1595200387652
0.052261,0.012543,-0.000946,-0.040664,0,0,1595200387746
0.048538,0.007172,-0.003723,-0.045089,0,0,1595200387860
0.051529,0.003815,0.002991,-0.044723,0,0,1595200387946
0.051758,0.010452,0.000229,-0.041077,0,0,1595200388063
0.045898,0.009674,-0.00586,-0.042084,0,0,1595200388171
0.054092,0.004791,0.008194,-0.041107,0,0,1595200388270
0.048309,-0.000122,-0.005783,-0.054214,0,0,1595200388458
0.050354,0.011276,0.002045,-0.037033,0,0,1595200388570
0.04895,0.009598,-0.001404,-0.040756,0,0,1595200388765
0.047989,0.008392,-0.000961,-0.040558,0,0,1595200388765
0.050842,0.013428,0.002853,-0.034561,0,0,1595200388892
0.046234,0.007751,-0.004608,-0.043091,0,0,1595200388902
0.049789,0.006409,0.003555,-0.039825,0,0,1595200389072
0.050903,0.006256,0.001114,-0.043533,0,0,1595200389111
0.050354,0.003082,-0.000549,-0.047821,0,0,1595200389277
0.046326,0.014557,-0.004028,-0.035797,0,0,1595200389371
0.049194,0.000168,0.002868,-0.046158,0,0,1595200389473
0.048553,0.009171,-0.000641,-0.040023,0,0,1595200389584
0.051575,0.010651,0.003022,-0.037902,0,0,1595200389686
0.046967,0.008286,-0.004608,-0.043289,0,0,1595200389789
0.053726,0.006653,0.006759,-0.040314,0,0,1595200389891
0.047897,0.001053,-0.005829,-0.052673,0,0,1595200389994
0.045929,0.010086,-0.001968,-0.037811,0,0,1595200390096
0.04863,0.008377,0.002701,-0.037552,0,0,1595200390203
0.047974,-0.000793,-0.000656,-0.049423,0,0,1595200390319
0.05072,0.012268,0.002746,-0.035706,0,0,1595200390403
0.050278,0.010757,-0.000442,-0.039963,0,0,1595200390522
0.048218,-0.00206,-0.00206,-0.052338,0,0,1595200390633
0.050781,0.007767,0.002563,-0.040451,0,0,1595200390723
0.051178,0.006866,0.000397,-0.043915,0,0,1595200390833
0.052002,0.009628,0.000824,-0.04155,0,0,1595200390942
0.047867,-0.007339,-0.004135,-0.059341,0,0,1595200391031
0.048737,0.004898,0.00087,-0.042969,0,0,1595200391361
0.052872,0.009079,0.004135,-0.039658,0,0,1595200391427
0.04248,-0.019485,-0.010392,-0.072357,0,0,1595200391530
0.050934,0.014908,0.008454,-0.027572,0,0,1595200391530
0.048141,0.007126,-0.002793,-0.043808,0,0,1595200391735
0.054443,0.009644,0.006302,-0.038497,0,0,1595200391735
0.048004,0.007538,-0.006439,-0.046905,0,0,1595200391841
0.05043,0.008728,0.002426,-0.039276,0,0,1595200392040
0.04953,0.008347,-0.0009,-0.042083,0,0,1595200392163
0.051895,0.006683,0.002365,-0.042847,0,0,1595200392247
0.048965,0.010773,-0.00293,-0.041122,0,0,1595200392349
0.049255,0.007507,0.00029,-0.041458,0,0,1595200392648
