acc_x,acc_y,acc_z,acc_dx,acc_dy,acc_dz,pothole,date
-0.012054,0.02449,0.004837,-0.012054,0.02449,0.004837,0,1595105423137
-0.010239,0.031464,0.002869,0.001815,0.006974,-0.021621,0,1595105423342
-0.015335,0.024323,-0.019577,-0.005096,-0.007141,-0.051041,0,1595105423444
-0.024994,0.036346,-0.020416,-0.009659,0.012023,-0.044739,0,1595105423444
-0.007019,0.030151,0.022842,0.017975,-0.006195,-0.013504,0,1595105423575
-0.02005,0.028137,-0.015121,-0.013031,-0.002014,-0.045272,0,1595105423955
-0.025711,0.033035,-0.000275,-0.005661,0.004898,-0.028412,0,1595105423955
-0.005722,0.028427,-0.014191,0.019989,-0.004608,-0.047226,0,1595105423955
-0.017227,0.033997,0.020523,-0.011505,0.00557,-0.007904,0,1595105424058
-0.016724,0.023636,-0.02655,0.000503,-0.010361,-0.060547,0,1595105424174
-0.012558,0.025314,-0.025726,0.004166,0.001678,-0.049362,0,1595105424264
-0.020767,0.030106,0.011902,-0.008209,0.004792,-0.013412,0,1595105424264
-0.015961,0.02597,0.1203,0.004806,-0.004136,0.090194,0,1595105424304
-0.025879,0.032639,0.023163,-0.009918,0.006669,-0.002807,0,1595105424480
-0.017685,0.025635,-0.011398,0.008194,-0.007004,-0.044037,0,1595105424510
-0.015289,0.023987,-0.015747,0.002396,-0.001648,-0.041382,0,1595105424673
-0.012756,0.02504,-0.011993,0.002533,0.001053,-0.03598,0,1595105424815
-0.019821,0.024796,0.024612,-0.007065,-0.000244,-0.000428,0,1595105424878
-0.008286,0.03035,-0.019089,0.011535,0.005554,-0.043885,0,1595105424989
-0.014679,0.027512,-0.00354,-0.006393,-0.002838,-0.03389,0,1595105425083
-0.030579,0.033142,-0.0009,-0.0159,0.00563,-0.028412,0,1595105425185
-0.00766,0.027924,0.006927,0.022919,-0.005218,-0.026215,0,1595105425288
-0.014771,0.025497,0.001007,-0.007111,-0.002427,-0.026917,0,1595105425391
-0.023422,0.03595,0.031067,-0.008651,0.010453,0.00557,0,1595105425492
-0.010727,0.02269,-0.005798,0.012695,-0.01326,-0.041748,0,1595105425595
-0.009872,0.035019,0.030853,0.000855,0.012329,0.008163,0,1595105425710
-0.0177,0.02916,0.001831,-0.007828,-0.005859,-0.033188,0,1595105425825
